"character","ascension","card","cardId","eloRating","peakRating","gamesPlayed","wins","losses","winRate"
"Defect",2,"Rocket Punch","CARD.ROCKET_PUNCH",1522.3,1522.3,1,1,0,100.0
"Defect",2,"Meteor Strike","CARD.METEOR_STRIKE",1522.3,1522.3,1,1,0,100.0
"Defect",2,"Exterminate","CARD.EXTERMINATE",1522.3,1522.3,1,1,0,100.0
"Defect",2,"Scrape","CARD.SCRAPE",1522.3,1522.3,1,1,0,100.0
"Defect",2,"Turbo","CARD.TURBO",1522.3,1522.3,1,1,0,100.0
"Defect",2,"Compact","CARD.COMPACT",1522.3,1522.3,1,1,0,100.0
"Defect",2,"Ftl","CARD.FTL",1522.3,1522.3,1,1,0,100.0
"Defect",2,"Mad Science","CARD.MAD_SCIENCE",1522.3,1522.3,1,1,0,100.0
"Defect",10,"Voltaic","CARD.VOLTAIC",1522.2,1522.2,1,1,0,100.0
"Defect",10,"Shockwave","CARD.SHOCKWAVE",1522.2,1522.2,1,1,0,100.0
"Defect",10,"Buffer","CARD.BUFFER",1522.2,1522.2,1,1,0,100.0
"Defect",10,"Scrape","CARD.SCRAPE",1522.2,1522.2,1,1,0,100.0
"Defect",10,"Rocket Punch","CARD.ROCKET_PUNCH",1522.2,1522.2,1,1,0,100.0
"Defect",10,"Overclock","CARD.OVERCLOCK",1522.2,1522.2,1,1,0,100.0
"Defect",10,"Skim","CARD.SKIM",1522.2,1522.2,1,1,0,100.0
"Defect",10,"Ftl","CARD.FTL",1522.2,1522.2,1,1,0,100.0
"Defect",10,"All For One","CARD.ALL_FOR_ONE",1522.2,1522.2,1,1,0,100.0
"Defect",10,"Genetic Algorithm","CARD.GENETIC_ALGORITHM",1522.2,1522.2,1,1,0,100.0
"Defect",10,"Doubt","CARD.DOUBT",1522.2,1522.2,1,1,0,100.0
"Silent",2,"Afterimage","CARD.AFTERIMAGE",1522.2,1522.2,1,1,0,100.0
"Silent",2,"Phantom Blades","CARD.PHANTOM_BLADES",1522.2,1522.2,1,1,0,100.0
"Silent",2,"Deflect","CARD.DEFLECT",1522.2,1522.2,1,1,0,100.0
"Silent",2,"Malaise","CARD.MALAISE",1522.2,1522.2,1,1,0,100.0
"Silent",2,"Leading Strike","CARD.LEADING_STRIKE",1522.2,1522.2,1,1,0,100.0
"Silent",2,"Squash","CARD.SQUASH",1522.2,1522.2,1,1,0,100.0
"Silent",2,"Believe In You","CARD.BELIEVE_IN_YOU",1522.2,1522.2,1,1,0,100.0
"Silent",2,"Assassinate","CARD.ASSASSINATE",1522.2,1522.2,1,1,0,100.0
"Silent",2,"Accuracy","CARD.ACCURACY",1522.2,1522.2,1,1,0,100.0
"Defect",9,"Go For The Eyes","CARD.GO_FOR_THE_EYES",1522.0,1522.0,1,1,0,100.0
"Defect",9,"Reboot","CARD.REBOOT",1522.0,1522.0,1,1,0,100.0
"Defect",9,"Scavenge","CARD.SCAVENGE",1522.0,1522.0,1,1,0,100.0
"Silent",8,"Leg Sweep","CARD.LEG_SWEEP",1521.5,1521.5,1,1,0,100.0
"Silent",8,"Piercing Wail","CARD.PIERCING_WAIL",1521.5,1521.5,1,1,0,100.0
"Silent",8,"Greed","CARD.GREED",1521.5,1521.5,1,1,0,100.0
"Silent",8,"Corrosive Wave","CARD.CORROSIVE_WAVE",1521.5,1521.5,1,1,0,100.0
"Silent",8,"Expose","CARD.EXPOSE",1521.5,1521.5,1,1,0,100.0
"Silent",8,"Squash","CARD.SQUASH",1521.5,1521.5,1,1,0,100.0
"Silent",8,"Dagger Throw","CARD.DAGGER_THROW",1521.5,1521.5,1,1,0,100.0
"Silent",8,"Hidden Daggers","CARD.HIDDEN_DAGGERS",1521.5,1521.5,1,1,0,100.0
"Silent",8,"Clumsy","CARD.CLUMSY",1521.5,1521.5,1,1,0,100.0
"Silent",8,"Mad Science","CARD.MAD_SCIENCE",1521.5,1521.5,1,1,0,100.0
"Regent",1,"Crescent Spear","CARD.CRESCENT_SPEAR",1521.4,1521.4,1,1,0,100.0
"Regent",1,"Jack Of All Trades","CARD.JACK_OF_ALL_TRADES",1521.4,1521.4,1,1,0,100.0
"Regent",1,"Photon Cut","CARD.PHOTON_CUT",1521.4,1521.4,1,1,0,100.0
"Regent",1,"Monologue","CARD.MONOLOGUE",1521.4,1521.4,1,1,0,100.0
"Regent",1,"Tyranny","CARD.TYRANNY",1521.4,1521.4,1,1,0,100.0
"Regent",1,"Cloak Of Stars","CARD.CLOAK_OF_STARS",1521.4,1521.4,1,1,0,100.0
"Silent",1,"Strangle","CARD.STRANGLE",1521.2,1521.2,1,1,0,100.0
"Silent",1,"Sneaky","CARD.SNEAKY",1521.2,1521.2,1,1,0,100.0
"Silent",1,"Envenom","CARD.ENVENOM",1521.2,1521.2,1,1,0,100.0
"Silent",1,"Accelerant","CARD.ACCELERANT",1521.2,1521.2,1,1,0,100.0
"Silent",1,"Apotheosis","CARD.APOTHEOSIS",1521.2,1521.2,1,1,0,100.0
"Silent",1,"Flanking","CARD.FLANKING",1521.2,1521.2,1,1,0,100.0
"Defect",6,"Chill","CARD.CHILL",1521.2,1521.2,1,1,0,100.0
"Defect",6,"Ball Lightning","CARD.BALL_LIGHTNING",1521.2,1521.2,1,1,0,100.0
"Defect",6,"Modded","CARD.MODDED",1521.2,1521.2,1,1,0,100.0
"Defect",6,"Energy Surge","CARD.ENERGY_SURGE",1521.2,1521.2,1,1,0,100.0
"Defect",6,"Ignition","CARD.IGNITION",1521.2,1521.2,1,1,0,100.0
"Defect",6,"Coolant","CARD.COOLANT",1521.2,1521.2,1,1,0,100.0
"Defect",6,"Skim","CARD.SKIM",1521.2,1521.2,1,1,0,100.0
"Defect",4,"Compile Driver","CARD.COMPILE_DRIVER",1520.3,1520.3,3,2,1,66.7
"Silent",7,"Untouchable","CARD.UNTOUCHABLE",1520.2,1520.2,1,1,0,100.0
"Silent",7,"Hand Trick","CARD.HAND_TRICK",1520.2,1520.2,1,1,0,100.0
"Silent",7,"Abrasive","CARD.ABRASIVE",1520.2,1520.2,1,1,0,100.0
"Silent",7,"Pinpoint","CARD.PINPOINT",1520.2,1520.2,1,1,0,100.0
"Silent",7,"Malaise","CARD.MALAISE",1520.2,1520.2,1,1,0,100.0
"Silent",7,"Tools Of The Trade","CARD.TOOLS_OF_THE_TRADE",1520.2,1520.2,1,1,0,100.0
"Silent",7,"Strangle","CARD.STRANGLE",1520.2,1520.2,1,1,0,100.0
"Silent",7,"Escape Plan","CARD.ESCAPE_PLAN",1520.2,1520.2,1,1,0,100.0
"Silent",7,"Haze","CARD.HAZE",1520.2,1520.2,1,1,0,100.0
"Necrobinder",0,"Hang","CARD.HANG",1520.2,1520.2,1,1,0,100.0
"Necrobinder",0,"No Escape","CARD.NO_ESCAPE",1520.2,1520.2,1,1,0,100.0
"Necrobinder",0,"Believe In You","CARD.BELIEVE_IN_YOU",1520.2,1520.2,1,1,0,100.0
"Necrobinder",0,"Shroud","CARD.SHROUD",1520.2,1520.2,1,1,0,100.0
"Silent",0,"Adrenaline","CARD.ADRENALINE",1520.0,1520.0,3,2,1,66.7
"Regent",1,"Venerate","CARD.VENERATE",1519.9,1519.9,3,2,1,66.7
"Silent",0,"Peck","CARD.PECK",1519.9,1519.9,1,1,0,100.0
"Silent",0,"Assassinate","CARD.ASSASSINATE",1519.9,1519.9,1,1,0,100.0
"Silent",0,"Afterimage","CARD.AFTERIMAGE",1519.9,1519.9,1,1,0,100.0
"Silent",0,"Ultimate Strike","CARD.ULTIMATE_STRIKE",1519.9,1519.9,1,1,0,100.0
"Silent",0,"Regret","CARD.REGRET",1519.9,1519.9,1,1,0,100.0
"Necrobinder",3,"Shroud","CARD.SHROUD",1519.7,1519.7,1,1,0,100.0
"Necrobinder",3,"Undeath","CARD.UNDEATH",1519.7,1519.7,1,1,0,100.0
"Necrobinder",3,"Misery","CARD.MISERY",1519.7,1519.7,1,1,0,100.0
